time_sta,time_fin,duration,item
09:00:00,09:45:00,45,会場設営
09:45:00,09:52:00,7,音響確認バンド1
09:52:00,09:59:00,7,音響確認バンド2
09:59:00,10:06:00,7,音響確認バンド3
10:06:00,10:21:00,15,調整・外部審査員紹介
10:21:00,10:38:00,17,1
10:38:00,10:40:00,2,転換
10:40:00,10:57:00,17,2
10:57:00,10:59:00,2,転換
10:59:00,11:16:00,17,3
11:16:00,11:18:00,2,転換
11:18:00,11:35:00,17,4
11:35:00,11:37:00,2,転換
11:37:00,11:54:00,17,5
11:54:00,11:56:00,2,転換
11:56:00,12:13:00,17,6
12:13:00,12:15:00,2,転換
12:15:00,12:32:00,17,7
12:32:00,12:34:00,2,転換
12:34:00,12:51:00,17,8
12:51:00,13:01:00,10,休憩
13:01:00,13:11:00,10,休憩
13:11:00,13:28:00,17,9
13:28:00,13:30:00,2,転換
13:30:00,13:47:00,17,10
13:47:00,13:49:00,2,転換
13:49:00,14:06:00,17,11
14:06:00,14:08:00,2,転換
14:08:00,14:25:00,17,12
14:25:00,14:27:00,2,転換
14:27:00,14:44:00,17,13
14:44:00,14:46:00,2,転換
14:46:00,15:03:00,17,14
15:03:00,15:05:00,2,転換
15:05:00,15:22:00,17,15
15:22:00,15:24:00,2,転換
15:24:00,15:41:00,17,16
15:41:00,15:56:00,15,マイク一本残し片づけ
15:56:00,16:06:00,10,外部審査員講評
16:06:00,16:51:00,45,撤収
