name,name_on_form,1,2,3,4,5,6,7
#行頭に#が付いた行は読み込まれません。バンド名の先頭に#が用いられている場合は別の文字に置き換える対応をしてください。
#「name」列にはバンド名、「name_on_form」には採点データに表記されたバンド名、それ以降の列にはメンバーを入力してください(同一人物が一意に書かれるように注意してください)。
#このCSVはTimetableMakerAppでもScoreProcessorAppでも利用できます。ただし、「name_on_form」列はTimetableMakerAppでは使用しません。また、メンバー列はScoreProcessorAppでは使用しません。使用しない列は無くても問題ありません。
からんころん,からんころん,21もち,21ハク,21もろ,21もも,22なべ,22とくさん,
hälytys,hälytys,21ハク,21しゃんしゃん,21もも,21よし,21けんたろう,22あやき,
éLefsi,éLefsi,21まお,21けんたろう,21もも,22ゆうくん,23あさぴん,23馬,
Leopoldy,Leopoldy,22くる,22はーちん,22いっせい,22なべ,23あすか,23イッキ,
Higher Girls,Higher Girls,21ハク,21もろ,22mol,22はーちん,23ゆっぴー,23あすか,
D.a.W.N.,D.a.W.N.,21もろ,22mol,23しゅんや,23つかでぃー,23ちかぜ,23🈂️,
tendresse,tendresse,22なべ,22rion,23ひなの,23あさぴん,23まみこ,23🈂️,
うしぺんぎん,うしぺんぎん,23しゅんや,23ひなの,23いろは,23馬,23つかでぃー,23ひめか,
全然いや突然。,全然いや突然。,21かこ,21まお,21もち,21けんたろう,21あだ,22hiroki,
はれいろ,はれいろ,23ひなの,23みく,23あさぴん,23とーや,23ラムダ,23イッキ,
虹のパレード🌈,虹のパレード🌈,21もち,21よし,22mol,22よしもち,22とくさん,22hiroki,
Period.,Period.,21かこ,22よしもち,23つかでぃー,23みく,,,
popcrop,popcrop,21しゃんしゃん,22いっせい,22rion,23つかでぃー,23ちかぜ,23みく,
SPIRITS,SPIRITS,21もろ,21けんたろう,21ハク,22hiroki,22あやき,22rion,
Chatnoir,Chatnoir,21けんたろう,21もち,22くる,22hiroki,23つかでぃー,23ひなの,
Helem.,Helem.,21かこ,21ハク,21まお,21よし,22なべ,23ゆっぴー,
