T.o.N.E.の学年及びT.o.N.E.ネームを教えてください。,からんころんのハーモニーの点数,からんころんのリズム・グルーヴの点数,からんころんの表現力の点数,からんころんのステージングの点数,からんころんのその他の点数,popcropのハーモニーの点数,popcropのリズム・グルーヴの点数,popcropの表現力の点数,popcropのステージングの点数,popcropのその他の点数,éLefsiのハーモニーの点数,éLefsiのリズム・グルーヴの点数,éLefsiの表現力の点数,éLefsiのステージングの点数,éLefsiのその他の点数,虹のパレード🌈のハーモニーの点数,虹のパレード🌈のリズム・グルーヴの点数,虹のパレード🌈の表現力の点数,虹のパレード🌈のステージングの点数,虹のパレード🌈のその他の点数,tendresseのハーモニーの点数,tendresseのリズム・グルーヴの点数,tendresseの表現力の点数,tendresseのステージングの点数,tendresseのその他の点数,全然いや突然。のハーモニーの点数,全然いや突然。のリズム・グルーヴの点数,全然いや突然。の表現力の点数,全然いや突然。のステージングの点数,全然いや突然。のその他の点数,D.a.W.N.のハーモニーの点数,D.a.W.N.のリズム・グルーヴの点数,D.a.W.N.の表現力の点数,D.a.W.N.のステージングの点数,D.a.W.N.のその他の点数,Leopoldyのハーモニーの点数,Leopoldyのリズム・グルーヴの点数,Leopoldyの表現力の点数,Leopoldyのステージングの点数,Leopoldyのその他の点数,はれいろのハーモニーの点数,はれいろのリズム・グルーヴの点数,はれいろの表現力の点数,はれいろのステージングの点数,はれいろのその他の点数,SPIRITSのハーモニーの点数,SPIRITSのリズム・グルーヴの点数,SPIRITSの表現力の点数,SPIRITSのステージングの点数,SPIRITSのその他の点数,うしぺんぎんのハーモニーの点数,うしぺんぎんのリズム・グルーヴの点数,うしぺんぎんの表現力の点数,うしぺんぎんのステージングの点数,うしぺんぎんのその他の点数,Helem.のハーモニーの点数,Helem.のリズム・グルーヴの点数,Helem.の表現力の点数,Helem.のステージングの点数,Helem.のその他の点数,Chatnoirのハーモニーの点数,Chatnoirのリズム・グルーヴの点数,Chatnoirの表現力の点数,Chatnoirのステージングの点数,Chatnoirのその他の点数,Higher Girlsのハーモニーの点数,Higher Girlsのリズム・グルーヴの点数,Higher Girlsの表現力の点数,Higher Girlsのステージングの点数,Higher Girlsのその他の点数,Period.のハーモニーの点数,Period.のリズム・グルーヴの点数,Period.の表現力の点数,Period.のステージングの点数,Period.のその他の点数,hälytysのハーモニーの点数,hälytysのリズム・グルーヴの点数,hälytysの表現力の点数,hälytysのステージングの点数,hälytysのその他の点数
#行頭に#が付いた行は読み込まれません。審査員名の先頭に#が用いられている場合は別の文字に置き換える対応をしてください。
#各点数の列は「[name_on_form]の[item]の点数」という形式を厳守してください。[name_on_form]や[item]についてはバンドCSVや採点項目CSVを参照してください。
審査員01,35,48,23,16,7,4,41,29,16,6,13,9,44,8,2,,16,20,46,10,31,47,10,21,1,44,18,20,50,6,49,,44,21,7,16,32,41,50,9,19,45,41,49,7,23,43,20,25,,46,42,5,24,3,9,32,18,,9,14,46,3,15,1,,8,17,,1,37,4,17,14,5,12,47,45,50,9
審査員02,24,35,5,13,6,44,35,12,5,,17,,18,38,4,33,33,27,26,8,32,,48,0,10,23,38,9,21,2,16,30,1,2,6,30,43,25,16,2,,32,36,36,9,1,,17,2,7,9,38,37,8,9,2,46,18,0,2,14,4,49,14,5,25,16,38,14,7,39,43,4,5,4,4,38,22,6,8
審査員03,30,14,49,26,,22,41,24,26,5,25,46,,15,4,7,40,1,26,3,10,12,48,16,2,48,16,35,15,7,36,11,9,30,4,41,16,27,13,2,7,32,16,37,4,1,,40,7,5,41,20,0,39,0,43,49,25,0,9,39,45,3,7,0,16,43,45,44,4,32,24,11,6,4,7,3,29,30,0
審査員04,44,15,43,10,3,1,,37,18,0,50,30,37,41,2,11,41,3,,,8,14,40,5,,3,8,44,0,8,27,43,34,10,6,35,34,34,31,8,22,39,33,40,4,6,35,23,50,1,24,48,4,46,1,3,42,31,,10,4,3,6,8,7,20,47,4,13,8,18,41,12,24,10,43,9,41,37,10
審査員05,48,4,13,19,,24,0,42,21,6,5,47,25,32,8,5,44,0,5,2,48,8,10,,10,25,35,26,21,1,11,41,2,0,1,29,44,44,39,9,,17,6,29,0,26,0,42,11,4,43,1,15,31,8,16,35,19,0,7,,15,23,10,7,20,19,2,9,8,47,25,45,39,1,22,20,47,15,2
審査員06,20,34,45,21,6,21,7,12,,,38,,14,15,10,22,38,,29,10,12,44,19,19,7,8,37,5,26,5,34,22,47,44,7,28,1,45,4,1,5,48,2,49,5,35,11,16,8,10,10,11,14,34,0,15,29,37,1,,15,27,49,6,10,11,17,7,,7,40,39,9,6,,,39,2,21,4
審査員07,2,18,36,31,7,12,0,50,16,0,25,17,1,27,10,8,33,49,29,,30,31,35,5,7,13,44,6,17,4,34,2,36,45,,35,45,7,1,7,,1,49,,10,19,0,43,36,7,14,13,18,9,5,17,6,31,27,2,6,11,3,14,,14,14,46,46,2,41,19,27,31,6,15,40,23,4,3
審査員08,21,43,22,23,2,,31,38,35,5,22,,45,46,2,37,8,40,50,1,41,48,13,17,8,8,10,7,3,4,47,43,46,42,10,20,25,33,43,2,17,20,3,26,8,39,50,4,22,9,29,,37,18,1,43,29,9,31,9,42,49,31,8,10,37,20,38,19,10,31,23,6,40,6,17,22,7,21,2
審査員09,30,18,4,50,9,21,0,49,14,10,39,10,5,11,0,12,16,17,7,10,44,49,39,27,5,21,17,27,17,6,47,31,10,38,5,29,23,12,32,0,24,15,33,16,3,,2,34,4,10,18,46,4,43,3,24,36,27,50,6,10,32,25,,4,42,24,38,41,0,8,41,24,33,5,30,34,27,,3
