no,name,unavailable_time,member
1,からんころん,,"['21もち', '21ハク', '21もろ', '21もも', '22なべ', '22とくさん', '']"
2,hälytys,,"['21ハク', '21しゃんしゃん', '21もも', '21よし', '21けんたろう', '22あやき', '']"
3,éLefsi,,"['21まお', '21けんたろう', '21もも', '22ゆうくん', '23あさぴん', '23馬', '']"
4,Leopoldy,,"['22くる', '22はーちん', '22いっせい', '22なべ', '23あすか', '23イッキ', '']"
5,Higher Girls,,"['21ハク', '21もろ', '22mol', '22はーちん', '23ゆっぴー', '23あすか', '']"
6,D.a.W.N.,,"['21もろ', '22mol', '23しゅんや', '23つかでぃー', '23ちかぜ', '23___', '']"
7,tendresse,,"['22なべ', '22rion', '23ひなの', '23あさぴん', '23まみこ', '23___', '']"
8,うしぺんぎん,,"['23しゅんや', '23ひなの', '23いろは', '23馬', '23つかでぃー', '23ひめか', '']"
9,全然いや突然。,,"['21かこ', '21まお', '21もち', '21けんたろう', '21あだ', '22hiroki', '']"
10,はれいろ,,"['23ひなの', '23みく', '23あさぴん', '23とーや', '23ラムダ', '23イッキ', '']"
11,虹のパレード🌈,,"['21もち', '21よし', '22mol', '22よしもち', '22とくさん', '22hiroki', '']"
12,Period.,,"['21かこ', '22よしもち', '23つかでぃー', '23みく', '', '', '']"
13,popcrop,,"['21しゃんしゃん', '22いっせい', '22rion', '23つかでぃー', '23ちかぜ', '23みく', '']"
14,SPIRITS,,"['21もろ', '21けんたろう', '21ハク', '22hiroki', '22あやき', '22rion', '']"
15,Chatnoir,,"['21けんたろう', '21もち', '22くる', '22hiroki', '23つかでぃー', '23ひなの', '']"
16,Helem.,,"['21かこ', '21ハク', '21まお', '21よし', '22なべ', '23ゆっぴー', '']"
